GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education
5350272.01,272.01,3300,300,855,2140
5350272.02,272.02,2645,195,475,1975
5350273.01,273.01,1725,50,245,1440
5350273.02,273.02,2050,50,245,1755
5350274.01,274.01,2345,40,430,1870
5350274.02,274.02,2550,55,305,2185
5350275.00,275.00,2700,60,345,2300
5350276.01,276.01,2980,95,495,2385
5350276.02,276.02,3305,60,355,2885
5350277.00,277.00,1810,35,325,1450
5350278.00,278.00,3515,80,765,2670
5350279.01,279.01,2345,280,435,1630
5350279.02,279.02,2980,535,820,1620
5350280.00,280.00,4025,790,1155,2080
5350281.01,281.01,3460,705,1045,1715
5350281.02,281.02,2140,485,610,1050
5350282.00,282.00,2550,410,645,1485
5350283.01,283.01,2750,525,820,1400
5350283.02,283.02,2005,350,735,920
5350284.00,284.00,3675,485,1020,2165
5350285.00,285.00,1765,240,385,1135
5350286.00,286.00,4105,405,795,2905
5350287.02,287.02,3190,270,815,2100
5350287.03,287.03,1400,170,410,820
5350287.04,287.04,2365,75,420,1870
5350288.00,288.00,6525,315,1150,5065
5350289.00,289.00,2745,305,645,1795
5350290.01,290.01,2090,305,705,1075
5350290.02,290.02,1120,120,205,800
5350291.02,291.02,2745,515,885,1345
5350291.03,291.03,1535,175,460,900
5350291.04,291.04,855,100,220,535
5350292.00,292.00,4720,960,1415,2340
5350293.00,293.00,3920,445,990,2480
5350294.01,294.01,2155,425,590,1140
5350294.02,294.02,2290,440,660,1185
5350295.00,295.00,3160,425,965,1760
5350296.00,296.00,1215,40,150,1025
5350297.01,297.01,4100,195,870,3035
5350297.02,297.02,3560,170,685,2715
5350298.00,298.00,2440,75,375,1995
5350299.01,299.01,3650,90,530,3025
5350299.02,299.02,3155,70,310,2775
5350300.01,300.01,2850,55,240,2560
5350300.02,300.02,5420,80,480,4860
5350300.03,300.03,1295,20,165,1110
5350301.01,301.01,1530,45,260,1220
5350301.03,301.03,5385,270,660,4460
5350301.04,301.04,5825,205,680,4945
5350302.01,302.01,3185,130,625,2430
5350302.02,302.02,3055,235,720,2095
5350302.03,302.03,1930,150,320,1460
5350303.00,303.00,3660,235,700,2725
5350304.01,304.01,2495,240,510,1745
5350304.02,304.02,2410,50,205,2155
5350304.03,304.03,1345,45,225,1080
5350304.04,304.04,2100,160,350,1590
5350304.05,304.05,1140,60,190,890
5350304.06,304.06,3080,145,350,2585
5350305.01,305.01,2235,25,295,1915
5350305.03,305.03,2725,65,315,2345
5350305.05,305.05,4370,70,435,3870
5350305.06,305.06,3055,35,355,2665
5350306.01,306.01,2440,135,390,1915
5350306.02,306.02,2560,60,275,2225
5350307.03,307.03,2995,65,295,2635
5350307.04,307.04,4285,80,485,3720
5350307.05,307.05,2275,25,230,2020
5350307.06,307.06,3115,55,245,2815
5350307.07,307.07,3500,95,455,2955
5350308.02,308.02,2435,70,345,2025
5350308.03,308.03,605,15,90,500
5350308.05,308.05,1430,50,140,1240
5350308.06,308.06,3135,80,320,2740
5350308.07,308.07,2420,45,255,2120
5350309.00,309.00,3450,255,710,2490
5350310.01,310.01,1790,85,240,1460
5350310.02,310.02,3045,240,645,2155
5350311.02,311.02,3490,625,965,1900
5350311.03,311.03,1295,180,320,790
5350311.04,311.04,3520,535,1010,1975
5350311.05,311.05,3855,520,900,2435
5350311.06,311.06,3810,295,700,2815
5350312.02,312.02,1910,540,585,790
5350312.03,312.03,3400,790,1030,1585
5350312.04,312.04,2665,935,870,870
5350312.05,312.05,1910,590,635,680
5350312.06,312.06,1870,410,670,790
5350312.07,312.07,1525,270,510,745
5350313.00,313.00,2990,495,905,1590
5350314.01,314.01,3520,800,960,1755
5350314.02,314.02,2650,455,690,1505
5350315.01,315.01,1635,220,385,1035
5350315.02,315.02,1615,385,470,755
5350315.03,315.03,3000,465,950,1590
5350316.01,316.01,1965,460,620,885
5350316.03,316.03,3175,1065,995,1120
5350316.04,316.04,2055,555,580,920
5350316.05,316.05,2260,550,715,990
5350316.06,316.06,1585,395,505,695
5350317.02,317.02,3830,265,945,2625
5350317.03,317.03,1895,65,280,1555
5350317.04,317.04,3790,150,895,2745
5350317.05,317.05,1150,25,210,915
5350318.01,318.01,2855,125,495,2230
5350318.02,318.02,2655,100,445,2110
5350319.00,319.00,2510,170,525,1815
5350320.01,320.01,2785,160,625,2000
5350320.02,320.02,3120,165,630,2320
5350321.01,321.01,2035,105,390,1545
5350321.02,321.02,2280,95,360,1820
5350322.01,322.01,3020,60,375,2590
5350322.02,322.02,1580,45,225,1310
5350323.01,323.01,2180,80,290,1810
5350323.02,323.02,2020,65,285,1665
5350324.01,324.01,1760,140,310,1310
5350324.02,324.02,3125,165,405,2560
5350324.03,324.03,1465,55,200,1205
5350324.05,324.05,1575,50,190,1335
