Name,"Census Tract ID","Households by Income (Current Year) | Median Household Income (Current Year $), 2025"
"CT0576.63, Toronto, ON",5350576.63,137313.82
"CT0576.65, Toronto, ON",5350576.65,101299.58
"CT0576.66, Toronto, ON",5350576.66,111800.7
"CT0576.68, Toronto, ON",5350576.68,116178.59
"CT0576.69, Toronto, ON",5350576.69,125618.55
"CT0576.73, Toronto, ON",5350576.73,190879.53
"CT0576.74, Toronto, ON",5350576.74,150850.38
"CT0576.75, Toronto, ON",5350576.75,153447.62
"CT0576.76, Toronto, ON",5350576.76,136857.71
"CT0576.77, Toronto, ON",5350576.77,124455.46
"CT0576.78, Toronto, ON",5350576.78,121472.56
"CT0576.79, Toronto, ON",5350576.79,112342.39
"CT0576.80, Toronto, ON",5350576.80,126456.65
"CT0576.81, Toronto, ON",5350576.81,124437.31
"CT0576.82, Toronto, ON",5350576.82,137752.58
"CT0576.83, Toronto, ON",5350576.83,151900.7
"CT0576.84, Toronto, ON",5350576.84,113227.84
"CT0576.85, Toronto, ON",5350576.85,107570.02
"CT0576.86, Toronto, ON",5350576.86,124100.23
"CT0576.87, Toronto, ON",5350576.87,145780.01
"CT0576.88, Toronto, ON",5350576.88,128777.3
"CT0576.89, Toronto, ON",5350576.89,121266.62
"CT0576.90, Toronto, ON",5350576.90,81567.4
"CT0576.91, Toronto, ON",5350576.91,146895.77
"CT0576.92, Toronto, ON",5350576.92,95585.26
"CT0576.93, Toronto, ON",5350576.93,97499.32
"CT0576.94, Toronto, ON",5350576.94,114980.71
"CT0576.95, Toronto, ON",5350576.95,127426.43
"CT0576.96, Toronto, ON",5350576.96,118189.3
"CT0576.97, Toronto, ON",5350576.97,123931.5
"CT0576.98, Toronto, ON",5350576.98,108163.21
"CT0576.99, Toronto, ON",5350576.99,124723.49
"CT0577.00, Toronto, ON",5350577.00,112662.82
"CT0577.01, Toronto, ON",5350577.01,118137.06
"CT0577.02, Toronto, ON",5350577.02,102694.57
"CT0577.03, Toronto, ON",5350577.03,123313.58
"CT0577.04, Toronto, ON",5350577.04,212798.1
"CT0577.05, Toronto, ON",5350577.05,105572.93
"CT0577.06, Toronto, ON",5350577.06,154321.4
"CT0577.07, Toronto, ON",5350577.07,102014.04
"CT0577.08, Toronto, ON",5350577.08,132878.16
"CT0577.09, Toronto, ON",5350577.09,122686.77
"CT0585.02, Toronto, ON",5350585.02,136497.93
"CT0585.03, Toronto, ON",5350585.03,114080.9
"CT0585.05, Toronto, ON",5350585.05,146822.89
"CT0585.07, Toronto, ON",5350585.07,147566
"CT0585.08, Toronto, ON",5350585.08,180414.12
"CT0585.09, Toronto, ON",5350585.09,135902.17
"CT0585.10, Toronto, ON",5350585.10,128130.52
"CT0586.02, Toronto, ON",5350586.02,114852.59
"CT0586.03, Toronto, ON",5350586.03,95211.16
"CT0586.04, Toronto, ON",5350586.04,132221.2
"CT0586.05, Toronto, ON",5350586.05,148425.89
"CT0587.01, Toronto, ON",5350587.01,150801.6
"CT0587.02, Toronto, ON",5350587.02,160120.44
"CT0590.00, Toronto, ON",5350590.00,85509.38
"CT0591.01, Toronto, ON",5350591.01,131461.06
"CT0591.02, Toronto, ON",5350591.02,135308.39
"CT0592.01, Toronto, ON",5350592.01,94655.05
"CT0592.02, Toronto, ON",5350592.02,147126.42
"CT0593.01, Toronto, ON",5350593.01,139672.74
"CT0593.02, Toronto, ON",5350593.02,138558.2
"CT0593.03, Toronto, ON",5350593.03,203922.12
"CT0593.04, Toronto, ON",5350593.04,249131.48
"CT0600.01, Toronto, ON",5350600.01,257548.85
"CT0600.02, Toronto, ON",5350600.02,172401.63
"CT0601.00, Toronto, ON",5350601.00,373181.82
"CT0602.00, Toronto, ON",5350602.00,240826.56
"CT0603.00, Toronto, ON",5350603.00,78002.07
"CT0604.00, Toronto, ON",5350604.00,121979.4
"CT0605.00, Toronto, ON",5350605.00,182842.87
"CT0606.00, Toronto, ON",5350606.00,96247.73
"CT0607.00, Toronto, ON",5350607.00,149537
"CT0608.00, Toronto, ON",5350608.00,146384.78
"CT0609.00, Toronto, ON",5350609.00,221328.07
"CT0610.03, Toronto, ON",5350610.03,100440.93
"CT0610.04, Toronto, ON",5350610.04,119765.33
"CT0610.05, Toronto, ON",5350610.05,210845.92
"CT0610.06, Toronto, ON",5350610.06,184112.65
"CT0611.00, Toronto, ON",5350611.00,163569.67
"CT0612.01, Toronto, ON",5350612.01,36243.47
"CT0612.03, Toronto, ON",5350612.03,155617.11
"CT0612.05, Toronto, ON",5350612.05,162814.5
"CT0612.08, Toronto, ON",5350612.08,146554.26
"CT0612.10, Toronto, ON",5350612.10,67639.32
"CT0612.11, Toronto, ON",5350612.11,205523.27
"CT0612.12, Toronto, ON",5350612.12,204399.84
"CT0612.13, Toronto, ON",5350612.13,150644.23
"CT0612.14, Toronto, ON",5350612.14,163817.98
"CT0612.15, Toronto, ON",5350612.15,166913.89
"CT0612.18, Toronto, ON",5350612.18,176783.22
"CT0612.19, Toronto, ON",5350612.19,194267.89
"CT0612.20, Toronto, ON",5350612.20,211781.79
"CT0612.21, Toronto, ON",5350612.21,198025.71
"CT0612.22, Toronto, ON",5350612.22,190285.98
"CT0612.23, Toronto, ON",5350612.23,188143.01
"CT0612.25, Toronto, ON",5350612.25,208085.33
"CT0612.26, Toronto, ON",5350612.26,98709.47
"CT0612.27, Toronto, ON",5350612.27,176994.31
"CT0612.28, Toronto, ON",5350612.28,421896.56
"CT0612.29, Toronto, ON",5350612.29,137261.32
"CT0613.01, Toronto, ON",5350613.01,141647.95
"CT0613.03, Toronto, ON",5350613.03,100133.49
"CT0613.04, Toronto, ON",5350613.04,79922.26
"CT0614.01, Toronto, ON",5350614.01,161885.14
"CT0614.02, Toronto, ON",5350614.02,140466.63
"CT0615.00, Toronto, ON",5350615.00,160707.17
"CT0620.05, Toronto, ON",5350620.05,200749.18
"CT0620.06, Toronto, ON",5350620.06,141714.17
"CT0620.07, Toronto, ON",5350620.07,191741.26
"CT0620.09, Toronto, ON",5350620.09,147993.15
"CT0620.13, Toronto, ON",5350620.13,127975.08
"CT0620.14, Toronto, ON",5350620.14,161327.71
"CT0620.15, Toronto, ON",5350620.15,115536.65
"CT0620.16, Toronto, ON",5350620.16,173145.78
"CT0620.17, Toronto, ON",5350620.17,153695.99
"CT0620.18, Toronto, ON",5350620.18,138969.71
"CT0620.19, Toronto, ON",5350620.19,235961.13
"CT0620.20, Toronto, ON",5350620.20,195288.82
"CT0620.21, Toronto, ON",5350620.21,146080.59
"CT0620.22, Toronto, ON",5350620.22,194828.04
"CT0620.23, Toronto, ON",5350620.23,159518.46
"CT0620.24, Toronto, ON",5350620.24,182464.89
"CT0620.25, Toronto, ON",5350620.25,164047.37
"CT0620.26, Toronto, ON",5350620.26,131201.06
"CT0620.27, Toronto, ON",5350620.27,147528.46
"CT0620.28, Toronto, ON",5350620.28,134605.84
"CT0620.29, Toronto, ON",5350620.29,142114.23
"CT0621.00, Toronto, ON",5350621.00,132439.18
"CT0622.00, Toronto, ON",5350622.00,118604.85
"CT0623.00, Toronto, ON",5350623.00,87324.48
"CT0624.00, Toronto, ON",5350624.00,121704.91
"CT0625.00, Toronto, ON",5350625.00,139377.63
"CT0626.00, Toronto, ON",5350626.00,169909.36
"CT0630.00, Toronto, ON",5350630.00,124661.1
"CT0631.02, Toronto, ON",5350631.02,181069.26
"CT0631.03, Toronto, ON",5350631.03,201968.21
"CT0631.04, Toronto, ON",5350631.04,195662.08
"CT0632.00, Toronto, ON",5350632.00,128910.58
"CT0633.00, Toronto, ON",5350633.00,121362.48
"CT0634.01, Toronto, ON",5350634.01,178993.87
"CT0634.02, Toronto, ON",5350634.02,125096.07
"CT0635.00, Toronto, ON",5350635.00,124738.82
"CT0636.00, Toronto, ON",5350636.00,131775.61
"CT0637.00, Toronto, ON",5350637.00,152202.49
"CT0638.00, Toronto, ON",5350638.00,113645.4
"CT0639.00, Toronto, ON",5350639.00,144152.07
"CT0800.01, Toronto, ON",5350800.01,105890.3
"CT0800.02, Toronto, ON",5350800.02,107578.06
"CT0801.01, Toronto, ON",5350801.01,122808.48
"CT0801.02, Toronto, ON",5350801.02,160013.46
"CT0802.01, Toronto, ON",5350802.01,146401.3
"CT0802.02, Toronto, ON",5350802.02,167668.65
"CT0803.03, Toronto, ON",5350803.03,155782.93
"CT0803.04, Toronto, ON",5350803.04,167297.07
"CT0803.05, Toronto, ON",5350803.05,165979.61
"CT0803.06, Toronto, ON",5350803.06,147850.67
"CT0804.01, Toronto, ON",5350804.01,173932.66
"CT0804.05, Toronto, ON",5350804.05,157775.13
"CT0804.06, Toronto, ON",5350804.06,124512.13
"CT0804.07, Toronto, ON",5350804.07,101101.68
"CT0804.08, Toronto, ON",5350804.08,164048.61
"CT0804.10, Toronto, ON",5350804.10,94534.17
"CT0804.11, Toronto, ON",5350804.11,106735.44
"CT0804.12, Toronto, ON",5350804.12,135152.16
"CT0804.13, Toronto, ON",5350804.13,125603.08
"CT0805.04, Toronto, ON",5350805.04,175398.83
"CT0805.06, Toronto, ON",5350805.06,119887.17
"CT0805.09, Toronto, ON",5350805.09,143871.03
"CT0805.10, Toronto, ON",5350805.10,133751.97
"CT0805.16, Toronto, ON",5350805.16,163121.66
"CT0805.17, Toronto, ON",5350805.17,166190.29
"CT0805.18, Toronto, ON",5350805.18,136760.23
"CT0805.19, Toronto, ON",5350805.19,118081.92
"CT0805.20, Toronto, ON",5350805.20,148190.51
"CT0805.21, Toronto, ON",5350805.21,143272.2
"CT0805.22, Toronto, ON",5350805.22,170235.27
"CT0805.23, Toronto, ON",5350805.23,134115.64
"CT0805.24, Toronto, ON",5350805.24,177540.67
"CT0805.25, Toronto, ON",5350805.25,149060.68
"CT0805.26, Toronto, ON",5350805.26,928017.69
"CT0805.27, Toronto, ON",5350805.27,152238.28
"CT0806.00, Toronto, ON",5350806.00,126194.23
"CT0807.00, Toronto, ON",5350807.00,156437.69
"CT0810.01, Toronto, ON",5350810.01,85257.07
"CT0810.02, Toronto, ON",5350810.02,105411.17
"CT0810.03, Toronto, ON",5350810.03,133730.2
"CT0810.04, Toronto, ON",5350810.04,99417.81
"CT0810.05, Toronto, ON",5350810.05,143132.61
"CT0811.00, Toronto, ON",5350811.00,89378.33
"CT0812.00, Toronto, ON",5350812.00,117332.51
"CT0820.03, Toronto, ON",5350820.03,171522.06
"CT0820.04, Toronto, ON",5350820.04,150000
"CT0820.05, Toronto, ON",5350820.05,189627.54
"CT0820.06, Toronto, ON",5350820.06,110185.52
"CT0820.07, Toronto, ON",5350820.07,146165.27
"CT0830.00, Toronto, ON",5350830.00,155701.08
"CT0831.01, Toronto, ON",5350831.01,155352.97
"CT0831.02, Toronto, ON",5350831.02,123313.97
"CT0832.00, Toronto, ON",5350832.00,150280.64
